bldg_guid,node_guid,edge_guid
0139fc8b-6a77-4ceb-ac90-6c78685d0c6b,25b5ea7a-770b-411f-a1c6-47a499461e1d,effa32e8-06f0-4bd9-938f-ce1bb911d39e
013a6250-a0f7-4e94-ade0-c76e32ba27e1,b6d6f2a8-ad57-4694-90ca-6b9d5822aaec,e48dccdf-a48f-407c-9bb7-fcc2a93a8f55
013bd281-60a4-41d6-bc76-f277f79d2ba9,c9227371-68f3-4139-9533-7c7957cb6a0a,35291c30-8633-4fbd-90c4-a98c2b0091f5
013d4d81-8e21-4e9a-8cdd-7fe88ce41b49,561c0355-5bb0-4500-ba0c-dd35a597654b,93ab5f9f-23f4-4017-bbeb-627f9926445e
0143e2ec-3803-44df-9edd-95304549d9d3,25ef3d3a-e27c-4e0c-ab77-179228f89aac,3405eb3b-933f-4283-ada7-56b8ccca4317
0146f977-ce18-437f-a649-bdbb04fae831,659423dd-1893-4943-9ad8-15f9c695f290,6c6628d9-2730-41fd-bb45-abffff388a7d
01478549-d821-4ff9-945e-98c064c5a636,3df1eb6a-491f-47f6-9382-d2a7ee2a90c2,a9c01d62-1085-4a62-ac71-e3a22054cc9e
0147f965-60ce-428c-bae1-5a268e2f4fe2,0bd4e61c-79e1-4ded-a747-602ebd1e23bb,d3bc3dea-3ae1-4c90-ba99-5efb37b19611
01486ae8-5e23-4313-b00d-c641153b9977,ac053487-344b-4b5f-a759-9a3a8d52b42c,9edcfa89-8ad2-481a-8bd4-487a36a12e4d
0148c0db-c426-4e82-9439-8a6f68f10f1b,1bf12014-df55-4520-9dc3-ba5f51969d9f,eb4929e2-1f2b-4214-b7a3-38d3204c83b9
014c99ac-740b-4614-9a08-3e4e70da7a8d,a1a300f5-1023-48b1-ae4f-6e1e5875e706,4764e64a-9d1e-4e18-980d-87d625859681
014d6edc-a44b-40f3-8f96-c3fcfd6a0dcb,310da98e-71ae-4bdd-b07c-0657b8bebc60,44159f68-6d31-4ab4-8a52-4d72a9db4d9f
014ecba5-b793-4e8c-9169-69e2f6a401cf,56928849-ce90-4fdd-bd35-610664903a90,ae12019a-4c8d-4299-a599-2e274b6b1946
014f850a-d5d6-4600-9661-02382defbf2d,f9d49f0f-9593-4ef6-a9ef-30ababb3938b,9632a38c-f2f1-45f2-8b7c-7debff736e61
014f89a7-3f07-4aad-a0b2-485e61711891,110475e6-30cb-4381-ade0-a2be79bd39ff,c0195454-8dee-43ea-827d-9e1b1a943c6f
01512e43-bb68-4986-aebc-8f37b99ced23,9f945c50-2c13-4963-b944-844c1e911397,041f4f38-2b89-4d37-9bc5-54d1d741c7de
